ticker,isin,shortname,fullname,industry,supersector,sector,subsector,listing_status,listing_date,trading_status,equity_type,equity_class,marketdata_currency,financial_currency,last_update,alsi_member,top40_member,irregular_flag
JBL,,JUBILEE,Jubilee Platinum Plc,Basic Materials,Basic Resources,Mining,Platinum & Percious Metals,CURRENT,,,,,,,2015-06-01,,,
DGC,,DIGICORE,Digicore Holdings Limite,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment,CURRENT,,,,,,,2015-06-01,,,
NUT,,NUTRITION,Nutritional Holdings Ltd,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,CURRENT,,,,,,,2015-06-01,,,
ASC,,ASCENDIS,Ascendis Health Ltd,Health Care,Health Care,Pharmaceuticals & Biotechnology,,CURRENT,,,,,,,2015-06-01,,,
ASG,ZAE000030789,ASSMANG,Assmang Ltd,Basic Materials,Basic Resources,Mining,Genral Mining,DELISTED,,,,,,,2006-02-27,,,
ASE,0,,Asseng Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1992-01-22,,,
ASO,ZAE000090882,AUSTRO,Austro Group Ltd,Industrials,Industrial Goods & Services,Industrial Engeneering,Industrial Machinery,DELISTED,,,,,,,2014-09-10,,,
DUK,ZAE000009924,DUIKERS,Duiker Mining Ltd,Basic Materials,Basic Resources,Mining,Gold Mining,DELISTED,,,,,,,2000-07-05,,,
UNG,ZAE000015848,UNIGRO,Universal Growth Hldgs,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2005-04-29,,,
UNI,ZAE000110664,UNIVERSAL,Universal Indus Corp Ltd,Industrials,Industrial Goods & Services,Industrial Engeneering,Industry Machinery,DELISTED,,,,,,,2011-10-31,,,
PMN,ZAE000035127,PRIMEDIA,Primedia Ltd -N-,Consumer Services,Media,Media,Broadcasting & Entertainment,DELISTED,,,,,,,2007-09-28,,,
UNN,ZAE000022265,UNION,Union Mines Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2003-07-11,,,
OMA,ZAE000009536,OMEGA,Omega Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-10-05,,,
ITH,,,Interhold Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-05-10,,,
ITI,ZAE000017505,ITI-TECH,Iti Technology Hldgs Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-06-29,,,
ITG,,,Integrear Ltd,Industrials,Industrial Goods & Services,Support Services,Business Support Services,DELISTED,,,,,,,2007-11-19,,,
ITE,,ITLTILE,Italtile Ltd,Consumer Services,Retail,General Retailers,Home Improvement Retailers,CURRENT,,,,,,,2015-06-01,,,
OMN,,OMNIA,Omnia Holdings Ltd,Basic Materials,Chemicals,Chemicals,Speciality Chemicals,CURRENT,,,,,,,2015-06-01,,,
OML,,OLDMUTUAL,Old Mutual Plc,Financials,Insurance,Life Insurance,Life Insurance,CURRENT,,,,,,,2015-06-01,,,
ITV,ZAE000025615,INTERVID,Intervid Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2004-08-23,,,
AEE,,,African Equity Emp Inv L,Financials,,General Financial,,CURRENT,,,,,,,2015-06-01,,,
ITU,,INTUPLC,Intu Properties Plc,Financials,Real Estate,Real Estate Investment Trusts,Retail REITs,CURRENT,,,,,,,2015-06-01,,,
ITR,ZAE000015566,INTRADING,Intertrading Ltd,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,DELISTED,,,,,,,2012-03-16,,,
AAL,0,ALPHA,Alpha Ltd Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-11-06,,,
BIO,,BIOSCI,Bioscience Brands Ltd,Consumer Goods,Unclassified,Food Producers,Unclassified,Suspended,,SUSPENDED,,,,,2015-06-01,,,
BIL,,BHPBILL,Bhp Billiton Plc,Basic Materials,Basic Resources,Mining,Genral Mining,CURRENT,,,,,,,2015-06-01,,,
BIK,,BRIKOR,Brikor Ltd,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,Suspended,,SUSPENDED,,,,,2015-06-01,,,
FDSP,,,Fedsure Hld 135C Conpref,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1999-03-26,,,
KWS,ZAE000104287,KWIKSPACE,Kwikspace Modular Bld Ld,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,DELISTED,,,,,,,2009-02-23,,,
KWR,GB0007702953,KIWARA,Kiwara Plc,Basic Materials,Basic Resources,Industrial Metals,Nonferrous Metals,DELISTED,,,,,,,2010-02-09,,,
COR,,,Core Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2003-05-30,,,
SLU,ZAE000019279,SOLUTNS,Investment Solutions Hld,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-12-17,,,
SLP,ZAE000167961,SABLEPLAT,SABLE PLATINUM LTD,Basic Materials,Basic Resources,Mining,Platinum & Percious Metals,DELISTED,,,,,,,,,,
